MatchID,SeasonID,GradeID,Round,HomeTeamName,AwayTeamName,HomeClubEntityID,AwayClubEntityID,HomeTeamResultID,AwayTeamResultID,VenueName,VenueLat,VenueLong,MatchDate,ResultSummary,ScoreText,WasLiveScored,MatchStatusID
6848429,17,71374,1,VOC 1,VCC 1,134464,134465,23852608,23852609,Schiebroekse Park,51.97019,4.48035,2024-05-25 10:00:00,VCC 1 won by 2 runs,VOC 1 216/9 def. by VCC 1 218/8,False,60
6848431,17,71374,1,HBS 1,Punjab-Ghausia 1,134457,134462,23852612,23852613,Sportpark Craeyenhout,52.07404,4.24912,2024-05-25 11:00:00,Punjab-Ghausia 1 won by 4 runs (DLS Method),HBS 1 217/7 def. by Punjab-Ghausia 1 224/8,False,60
6848433,17,71374,2,Sparta 1,VRA 1,134463,134466,23852616,23852617,Sportpark Bermweg,51.94436,4.58983,2024-06-01 10:00:00,VRA 1 won by 6 wickets,Sparta 1 151 def. by VRA 1 156/4,False,60
6848434,17,71374,2,Punjab-Ghausia 1,Hermes-DVS 1,134462,134470,23852618,23852619,Zomercomplex,51.86658,4.47821,2024-06-01 10:00:00,Punjab-Ghausia 1 won by 5 wickets,Punjab-Ghausia 1 198/5 def. Hermes-DVS 1 196,False,60
6848435,17,71374,2,ACC 1,HBS 1,134454,134457,23852620,23852621,Sportpark 't Loopveld,52.31912,4.8843,2024-06-01 10:00:00,HBS 1 won by 53 runs,ACC 1 138 def. by HBS 1 191,False,60
6848436,17,71374,2,VCC 1,Excelsior'20 1,134465,134456,23852622,23852623,Sportpark Westvliet,52.0682,4.37525,2024-06-01 10:00:00,VCC 1 won by 5 wickets,VCC 1 255/5 def. Excelsior'20 1 254/6,False,60
6848438,17,71374,3,VOC 1,Sparta 1,134464,134463,23852626,23852627,Schiebroekse Park,51.97019,4.48035,2024-06-08 10:00:00,VOC 1 won by 7 wickets,VOC 1 126/3 def. Sparta 1 122,False,60
6848439,17,71374,3,Excelsior'20 1,HCC 1,134456,134461,23852628,23852629,Sportpark Thurlede,51.9327,4.39525,2024-06-08 10:00:00,HCC 1 won by 60 runs,Excelsior'20 1 125 def. by HCC 1 185/8,False,60
6848440,17,71374,3,HBS 1,VCC 1,134457,134465,23852630,23852631,Sportpark Craeyenhout,52.07404,4.24912,2024-06-08 10:00:00,HBS 1 won by 9 runs,HBS 1 287/6 def. VCC 1 278/8,False,60
6848441,17,71374,3,Hermes-DVS 1,ACC 1,134470,134454,23852632,23852633,"Loopuyt Oval, Sportpark Harga",51.92125,4.36521,2024-06-08 10:00:00,Hermes-DVS 1 won by 7 wickets,Hermes-DVS 1 83/3 def. ACC 1 82,False,60
6848442,17,71374,3,VRA 1,Punjab-Ghausia 1,134466,134462,23852634,23852635,Amsterdamse Bos,52.31898,4.85117,2024-06-08 10:00:00,VRA 1 won by 6 runs (DLS Method),VRA 1 238/9 def. Punjab-Ghausia 1 169/7,False,60
6848443,17,71374,4,Sparta 1,Punjab-Ghausia 1,134463,134462,23852636,23852637,Sportpark Bermweg,51.94436,4.58983,2024-06-15 10:00:00,Sparta 1 won by 11 runs (DLS Method),Sparta 1 161/9 def. Punjab-Ghausia 1 88/5,False,60
6848446,17,71374,4,HCC 1,HBS 1,134461,134457,23852642,23852643,De Diepput,52.09602,4.32358,2024-06-15 10:00:00,Match drawn,HCC 1  v HBS 1 ,False,60
6848447,17,71374,4,VOC 1,Excelsior'20 1,134464,134456,23852644,23852645,Schiebroekse Park,51.97019,4.48035,2024-06-15 10:00:00,Excelsior'20 1 won by 3 runs,VOC 1 153 def. by Excelsior'20 1 156,False,60
6848448,17,71374,5,Sparta 1,ACC 1,134463,134454,23873652,23873653,Sportpark Bermweg,51.94436,4.58983,2024-06-22 10:00:00,Sparta 1 won by 7 wickets,Sparta 1 150/3 def. ACC 1 148,False,60
6848449,17,71374,5,VCC 1,Punjab-Ghausia 1,134465,134462,23873654,23873655,Sportpark Westvliet,52.0682,4.37525,2024-06-22 10:00:00,Punjab-Ghausia 1 won by 6 runs,VCC 1 242 def. by Punjab-Ghausia 1 248/7,False,60
6848450,17,71374,5,HCC 1,VRA 1,134461,134466,23873656,23873657,De Diepput,52.09602,4.32358,2024-06-22 10:00:00,VRA 1 won by 134 runs,HCC 1 72 def. by VRA 1 206,False,60
6848451,17,71374,5,VOC 1,Hermes-DVS 1,134464,134470,23873658,23873659,Schiebroekse Park,51.97019,4.48035,2024-06-22 10:00:00,VOC 1 won by 1 wicket,VOC 1 262/9 def. Hermes-DVS 1 261/7,False,60
6848452,17,71374,5,Excelsior'20 1,HBS 1,134456,134457,23873660,23873661,Sportpark Thurlede,51.9327,4.39525,2024-06-22 10:00:00,Excelsior'20 1 won by 97 runs,Excelsior'20 1 163 def. HBS 1 66,False,60
6848453,17,71374,6,Excelsior'20 1,Sparta 1,134456,134463,23873662,23873663,Sportpark Thurlede,51.9327,4.39525,2024-06-29 10:00:00,Excelsior'20 1 won by 32 runs,Excelsior'20 1 141 def. Sparta 1 109,False,60
6848455,17,71374,6,Hermes-DVS 1,HCC 1,134470,134461,23873666,23873667,"Loopuyt Oval, Sportpark Harga",51.92125,4.36521,2024-06-29 10:00:00,HCC 1 won by 34 runs,Hermes-DVS 1 210 def. by HCC 1 244/8,False,60
6848456,17,71374,6,VRA 1,VCC 1,134466,134465,23873668,23873669,Amsterdamse Bos,52.31898,4.85117,2024-06-29 10:00:00,VCC 1 won by 7 wickets,VRA 1 306/7 def. by VCC 1 307/3,False,60
6848457,17,71374,6,Punjab-Ghausia 1,ACC 1,134462,134454,23873670,23873671,Zomercomplex,51.86658,4.47821,2024-06-29 10:00:00,Punjab-Ghausia 1 won by 7 wickets,Punjab-Ghausia 1 73/3 def. ACC 1 72,False,60
6848454,17,71374,6,HBS 1,VOC 1,134457,134464,23873664,23873665,Sportpark Craeyenhout,52.07404,4.24912,2024-06-30 10:00:00,HBS 1 won by 46 runs,HBS 1 264/9 def. VOC 1 218,False,60
