match_id,external_match_id,association_id,season_id,grade_id,grade_name,date1,date2,date3,date4,start_time1,venue_id,venue_name,venue_address,venue_lat,venue_long,toss_won_by,batted_first,allow_live_score,follow_on,score_text,leader_text,g_sort_order,um_pire1,um_pire2,config___type,config_allow_match_bonus,config_balls_per_over,config_bat_lim_ball_per_bat,config_bat_lim_over_per_pair,config_bat_lim_runs_per_bat,config_bat_limit_id,config_bowl_lim_over_per_bwl,config_bowl_limit_id,config_bowl_limit_max_ball_over,config_change_strike_wkt,config_dismissal_mode,config_dismissal_penalty,config_dismissal_penalty_mode,config_max_overs,config_max_pen_wkt_batter,config_nb_value,config_nbs_as_bf,config_pen_runs_per_wkt,config_rebowl_nb,config_rebowl_wd,config_rebowl_wd_nb,config_starting_runs,config_wide_value,config_wides_as_bf,team1_is_home,team1_team_name,team1_team_id,team1_entity_id,team1_result_id,team1_result_type,team1_runs,team1_wickets,team1_overs_bowled,team1_extras,team1_leg_byes,team1_wides,team1_no_balls,team2_is_home,team2_team_name,team2_team_id,team2_entity_id,team2_result_id,team2_result_type,team2_runs,team2_wickets,team2_overs_bowled,team2_extras,team2_leg_byes,team2_wides,team2_no_balls
6629515,0,134453,15,73943,Zami,2023-05-06 12:00:00,,,,,0,De Roggewoning,Buurtweg 122,52.11449,4.3422,Groen Geel 2,Groen Geel 2,True,False,Groen Geel 2 165/6 def. VOC 121,Groen Geel 2 won by 44 runs,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,Groen Geel 2,,136542,23384698,WON FIRST INNINGS (ONE DAY),165.0,6.0,35.0,36.0,0.0,31.0,2.0,False,VOC,,134464.0,23384699.0,LOST FIRST INNINGS (ONE DAY),121.0,10.0,28.2,26.0,1.0,20.0,2.0
6629516,0,134453,15,73943,Zami,2023-05-06 12:00:00,,,,,0,Sportpark Maarschalkerweerd,Mytylweg 17,52.07644,5.15258,Hercules,Hercules,True,False,Kampong 2 134/5 def. Hercules 133,Kampong 2 won by 5 wickets,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,Kampong 2,,134471,23384700,WON FIRST INNINGS (ONE DAY),134.0,5.0,22.0,18.0,1.0,15.0,1.0,False,Hercules,,136544.0,23384701.0,LOST FIRST INNINGS (ONE DAY),133.0,10.0,35.0,49.0,1.0,40.0,1.0
6629517,0,134453,15,73943,Zami,2023-05-06 12:00:00,,,,,0,Wanderers,Amsteleindstraat 108a,51.75996,5.49258,Wanderers,Wanderers,True,False,Wanderers 186 def. by Hilversum 2 192/6,Hilversum 2 won by 4 wickets,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,Wanderers,,136551,23384702,LOST FIRST INNINGS (ONE DAY),186.0,10.0,31.0,27.0,1.0,23.0,2.0,False,Hilversum 2,,136545.0,23384703.0,WON FIRST INNINGS (ONE DAY),192.0,6.0,22.2,34.0,0.0,28.0,6.0
6629518,0,134453,15,73943,Zami,2023-05-06 12:00:00,,,,,0,De Diepput,Van Hogenhoucklaan 37,52.09602,4.32358,HCC 1,HCC 1,True,False,HCC 1 215/7 def. by VRA 1 217/3,VRA 1 won by 7 wickets,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,HCC 1,,134461,23384704,LOST FIRST INNINGS (ONE DAY),215.0,7.0,35.0,30.0,4.0,20.0,4.0,False,VRA 1,,134466.0,23384705.0,WON FIRST INNINGS (ONE DAY),217.0,3.0,28.4,48.0,1.0,41.0,4.0
6629519,0,134453,15,73943,Zami,2023-05-06 12:00:00,,,,,0,Amsterdamse Bos,Nieuwe Kalfjeslaan 21B,52.31898,4.85117,VRA 2,VRA 2,True,False,VRA 2 197/9 def. Groen Geel 1 108,VRA 2 won by 89 runs,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,VRA 2,,134466,23416509,WON FIRST INNINGS (ONE DAY),197.0,9.0,34.4,35.0,5.0,21.0,5.0,False,Groen Geel 1,,136542.0,23416510.0,LOST FIRST INNINGS (ONE DAY),108.0,10.0,24.1,35.0,1.0,20.0,1.0
6629520,0,134453,15,73943,Zami,2023-05-06 12:00:00,,,,,0,‘t Schootsveld,David Wijnveldtweg 4,52.25339,6.2274,Kampong 1,Salland,True,False,Salland 156 def. by Kampong 1 157/7,Kampong 1 won by 3 wickets,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,Salland,,134474,23384708,LOST FIRST INNINGS (ONE DAY),156.0,10.0,33.0,20.0,2.0,16.0,2.0,False,Kampong 1,,134471.0,23384709.0,WON FIRST INNINGS (ONE DAY),157.0,7.0,33.3,26.0,0.0,24.0,0.0
6629521,0,134453,15,73943,Zami,2023-05-06 11:00:00,,,,,0,Sportpark Overveer,Abtspoelweg 21,52.18701,4.48845,Rood en Wit 1,Ajax,True,False,Ajax 221/5 def. by Rood en Wit 1 224/3,Rood en Wit 1 won by 7 wickets,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,Ajax,,134764,23384710,LOST FIRST INNINGS (ONE DAY),221.0,5.0,35.0,27.0,2.0,18.0,2.0,False,Rood en Wit 1,,134473.0,23384711.0,WON FIRST INNINGS (ONE DAY),224.0,3.0,31.0,32.0,0.0,24.0,2.0
6629522,0,134453,15,73943,Zami,2023-05-13 13:00:00,,,,,0,Amsterdamse Bos,Nieuwe Kalfjeslaan 21B,52.31898,4.85117,HCC 1,HCC 1,True,False,VRA 2 187/7 def. HCC 1 181/7,VRA 2 won by 3 wickets,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,VRA 2,,134466,23384712,WON FIRST INNINGS (ONE DAY),187.0,7.0,32.3,33.0,2.0,27.0,3.0,False,HCC 1,,134461.0,23384713.0,LOST FIRST INNINGS (ONE DAY),181.0,7.0,35.0,45.0,1.0,38.0,4.0
6629523,0,134453,15,73943,Zami,2023-05-13 12:00:00,,,,,0,De Roggewoning,Buurtweg 122,52.11449,4.3422,VRA 1,Groen Geel 1,True,False,VRA 1 135/9 def. Groen Geel 1 134,VRA 1 won by 1 wicket,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,VRA 1,,134466,23384714,WON FIRST INNINGS (ONE DAY),135.0,9.0,35.0,38.0,5.0,26.0,2.0,False,Groen Geel 1,,136542.0,23384715.0,LOST FIRST INNINGS (ONE DAY),134.0,10.0,35.0,24.0,1.0,16.0,4.0
6629524,0,134453,15,73943,Zami,2023-05-13 12:00:00,,,,,0,Sportpark Maarschalkerweerd,Mytylweg 17,52.07644,5.15258,Rood en Wit 1,Rood en Wit 1,True,False,Kampong 1 176 def. by Rood en Wit 1 195,Rood en Wit 1 won by 19 runs,17,,,CMatchConfig:http://api.resultsvault.com,False,,,,,1,,1,,False,1,0,True,35.0,,1,True,0,3,3,True,0,1,False,True,Kampong 1,,134471,23384716,LOST FIRST INNINGS (ONE DAY),176.0,10.0,35.0,30.0,0.0,23.0,3.0,False,Rood en Wit 1,,134473.0,23384717.0,WON FIRST INNINGS (ONE DAY),195.0,10.0,34.5,24.0,3.0,20.0,1.0
