MatchID,ResultID,InningsNumber,OverNumber,BallNumberInOver,BallTimestamp,BatterID,NonStrikerID,BowlerID,RunsBatsman,RunsExtras,RunsTotal,DismissedPlayerID,ExtraType,EventDescription
7032935,24307488,1,0,1,2024-08-03 07:59:06,11619272,11193381,11862334,0,0,0,,, L Botha to M Levitt: No run
7032935,24307488,1,0,2,2024-08-03 07:59:41,11619272,11193381,11862334,0,1,1,,4.0, L Botha to M Levitt: 1 lb
7032935,24307488,1,0,3,2024-08-03 08:00:25,11193381,11619272,11862334,0,0,0,,, L Botha to N Gigani: No run
7032935,24307488,1,0,4,2024-08-03 08:01:01,11193381,11619272,11862334,4,0,4,,, L Botha to N Gigani: 4 runs
7032935,24307488,1,0,5,2024-08-03 08:01:51,11193381,11619272,11862334,0,0,0,,, L Botha to N Gigani: No run
7032935,24307488,1,0,6,2024-08-03 08:02:24,11193381,11619272,11862334,0,0,0,,, L Botha to N Gigani: No run
7032935,24307488,1,1,1,2024-08-03 08:03:34,11619272,11193381,11384117,0,0,0,,, K Klein to M Levitt: No run
7032935,24307488,1,1,2,2024-08-03 08:04:23,11619272,11193381,11384117,0,0,0,,, K Klein to M Levitt: No run
7032935,24307488,1,1,3,2024-08-03 08:04:58,11619272,11193381,11384117,0,1,1,,2.0, K Klein to M Levitt: 1 w
7032935,24307488,1,1,3,2024-08-03 08:05:43,11619272,11193381,11384117,1,0,1,,, K Klein to M Levitt: 1 run
7032935,24307488,1,1,4,2024-08-03 08:06:24,11193381,11619272,11384117,1,0,1,,, K Klein to N Gigani: 1 run
7032935,24307488,1,1,5,2024-08-03 08:07:02,11619272,11193381,11384117,0,0,0,,, K Klein to M Levitt: No run
7032935,24307488,1,1,6,2024-08-03 08:07:43,11619272,11193381,11384117,1,0,1,,, K Klein to M Levitt: 1 run
7032935,24307488,1,2,1,2024-08-03 08:08:44,11619272,11193381,11862334,0,0,0,,, L Botha to M Levitt: No run
7032935,24307488,1,2,2,2024-08-03 08:09:19,11619272,11193381,11862334,0,0,0,,, L Botha to M Levitt: No run
7032935,24307488,1,2,3,2024-08-03 08:09:52,11619272,11193381,11862334,4,0,4,,, L Botha to M Levitt: 4 runs
7032935,24307488,1,2,4,2024-08-03 08:10:43,11619272,11193381,11862334,0,0,0,,, L Botha to M Levitt: No run
7032935,24307488,1,2,5,2024-08-03 08:11:19,11619272,11193381,11862334,2,0,2,,, L Botha to M Levitt: 2 runs
7032935,24307488,1,2,6,2024-08-03 08:12:03,11619272,11193381,11862334,0,0,0,,, L Botha to M Levitt: No run
7032935,24307488,1,3,1,2024-08-03 08:13:00,11193381,11619272,11384117,0,0,0,,, K Klein to N Gigani: No run
7032935,24307488,1,3,2,2024-08-03 08:13:42,11193381,11619272,11384117,0,0,0,,, K Klein to N Gigani: No run
7032935,24307488,1,3,3,2024-08-03 08:14:25,11193381,11619272,11384117,0,0,0,,, K Klein to N Gigani: No run
7032935,24307488,1,3,4,2024-08-03 08:15:08,11193381,11619272,11384117,0,0,0,,, K Klein to N Gigani: No run
7032935,24307488,1,3,5,2024-08-03 08:15:49,11193381,11619272,11384117,0,0,0,,, K Klein to N Gigani: No run
7032935,24307488,1,3,6,2024-08-03 08:16:40,11193381,11619272,11384117,2,0,2,,, K Klein to N Gigani: 2 runs
7032935,24307488,1,4,1,2024-08-03 08:17:45,11619272,11193381,11862334,0,0,0,,, L Botha to M Levitt: No run
7032935,24307488,1,4,2,2024-08-03 08:18:20,11619272,11193381,11862334,4,0,4,,, L Botha to M Levitt: 4 runs
7032935,24307488,1,4,3,2024-08-03 08:19:04,11619272,11193381,11862334,0,0,0,,, L Botha to M Levitt: No run
7032935,24307488,1,4,4,2024-08-03 08:20:03,11619272,11193381,11862334,0,0,0,,, L Botha to M Levitt: No run
7032935,24307488,1,4,5,2024-08-03 08:20:44,11619272,11193381,11862334,0,0,0,,, L Botha to M Levitt: No run
