MatchID,ResultID,InningsNumber,OverNumber,BallNumberInOver,BallTimestamp,BatterID,NonStrikerID,BowlerID,RunsBatsman,RunsExtras,RunsTotal,DismissedPlayerID,ExtraType,EventDescription
6848461,23852673,1,0,1,2024-07-06 09:28:43,11862355,11399629,11617919,0,0,0,,, M Shafiq to C McInerney: No run
6848461,23852673,1,0,2,2024-07-06 09:29:02,11862355,11399629,11617919,0,0,0,,, M Shafiq to C McInerney: No run
6848461,23852673,1,0,3,2024-07-06 09:29:15,11862355,11399629,11617919,1,0,1,,, M Shafiq to C McInerney: 1 run
6848461,23852673,1,0,4,2024-07-06 09:29:54,11399629,11862355,11617919,0,0,0,,, M Shafiq to T Staal: No run
6848461,23852673,1,0,5,2024-07-06 09:30:10,11399629,11862355,11617919,0,0,0,,, M Shafiq to T Staal: No run
6848461,23852673,1,0,6,2024-07-06 09:30:31,11399629,11862355,11617919,0,0,0,,, M Shafiq to T Staal: No run
6848461,23852673,1,1,1,2024-07-06 09:31:54,11862355,11399629,11192210,0,0,0,,, S Tariq to C McInerney: No run
6848461,23852673,1,1,2,2024-07-06 09:32:15,11862355,11399629,11192210,0,0,0,,, S Tariq to C McInerney: No run
6848461,23852673,1,1,3,2024-07-06 09:32:38,11862355,11399629,11192210,0,0,0,,, S Tariq to C McInerney: No run
6848461,23852673,1,1,4,2024-07-06 09:33:01,11862355,11399629,11192210,0,0,0,,, S Tariq to C McInerney: No run
6848461,23852673,1,1,5,2024-07-06 09:33:29,11862355,11399629,11192210,4,0,4,,, S Tariq to C McInerney: 4 runs
6848461,23852673,1,1,6,2024-07-06 09:34:03,11862355,11399629,11192210,0,0,0,,, S Tariq to C McInerney: No run
6848461,23852673,1,2,1,2024-07-06 09:34:59,11399629,11862355,11617919,2,0,2,,, M Shafiq to T Staal: 2 runs
6848461,23852673,1,2,2,2024-07-06 09:35:23,11399629,11862355,11617919,0,0,0,,, M Shafiq to T Staal: No run
6848461,23852673,1,2,3,2024-07-06 09:35:38,11399629,11862355,11617919,0,0,0,,, M Shafiq to T Staal: No run
6848461,23852673,1,2,4,2024-07-06 09:35:52,11399629,11862355,11617919,0,0,0,,, M Shafiq to T Staal: No run
6848461,23852673,1,2,5,2024-07-06 09:36:58,11399629,11862355,11617919,0,0,0,,, M Shafiq to T Staal: No run
6848461,23852673,1,2,6,2024-07-06 09:37:21,11399629,11862355,11617919,0,0,0,,, M Shafiq to T Staal: No run
6848461,23852673,1,3,1,2024-07-06 09:38:12,11862355,11399629,11192210,1,0,1,,, S Tariq to C McInerney: 1 run
6848461,23852673,1,3,2,2024-07-06 09:38:42,11399629,11862355,11192210,2,0,2,,, S Tariq to T Staal: 2 runs
6848461,23852673,1,3,3,2024-07-06 09:39:15,11399629,11862355,11192210,4,0,4,,, S Tariq to T Staal: 4 runs
6848461,23852673,1,3,4,2024-07-06 09:39:49,11399629,11862355,11192210,0,0,0,,, S Tariq to T Staal: No run
6848461,23852673,1,3,5,2024-07-06 09:40:25,11399629,11862355,11192210,1,0,1,,, S Tariq to T Staal: 1 run
6848461,23852673,1,3,6,2024-07-06 09:40:57,11862355,11399629,11192210,0,0,0,,, S Tariq to C McInerney: No run
6848461,23852673,1,4,1,2024-07-06 09:41:57,11399629,11862355,11617919,0,0,0,,, M Shafiq to T Staal: No run
6848461,23852673,1,4,2,2024-07-06 09:42:24,11399629,11862355,11617919,0,0,0,,, M Shafiq to T Staal: No run
6848461,23852673,1,4,3,2024-07-06 09:43:35,11399629,11862355,11617919,0,0,0,,, M Shafiq to T Staal: No run
6848461,23852673,1,4,4,2024-07-06 09:43:54,11399629,11862355,11617919,2,0,2,,, M Shafiq to T Staal: 2 runs
6848461,23852673,1,4,5,2024-07-06 09:44:24,11399629,11862355,11617919,0,0,0,,, M Shafiq to T Staal: No run
6848461,23852673,1,4,6,2024-07-06 09:44:41,11399629,11862355,11617919,0,0,0,,, M Shafiq to T Staal: No run
6848461,23852673,1,5,1,2024-07-06 09:45:53,11862355,11399629,11192210,0,0,0,,, S Tariq to C McInerney: No run
