MatchID,ResultID,InningsNumber,OverNumber,BallNumberInOver,BallTimestamp,BatterID,NonStrikerID,BowlerID,RunsBatsman,RunsExtras,RunsTotal,DismissedPlayerID,ExtraType,EventDescription
6848471,23852693,1,0,1,2024-07-21 14:07:41,11859689,11391030,11862359,0,0,0,,, I Sayed to R Schierhout: No run
6848471,23852693,1,0,2,2024-07-21 14:08:18,11859689,11391030,11862359,0,0,0,,, I Sayed to R Schierhout: No run
6848471,23852693,1,0,3,2024-07-21 14:08:55,11859689,11391030,11862359,0,0,0,,, I Sayed to R Schierhout: No run
6848471,23852693,1,0,4,2024-07-21 14:09:32,11859689,11391030,11862359,0,0,0,,, I Sayed to R Schierhout: No run
6848471,23852693,1,0,5,2024-07-21 14:10:10,11859689,11391030,11862359,0,0,0,,, I Sayed to R Schierhout: No run
6848471,23852693,1,0,6,2024-07-21 14:10:46,11859689,11391030,11862359,0,0,0,,, I Sayed to R Schierhout: No run
6848471,23852693,1,1,1,2024-07-21 14:12:23,11391030,11859689,11394599,0,1,1,,4.0, S Kothari to F Fourie: 1 lb
6848471,23852693,1,1,2,2024-07-21 14:12:59,11859689,11391030,11394599,0,0,0,,, S Kothari to R Schierhout: No run
6848471,23852693,1,1,3,2024-07-21 14:13:15,11859689,11391030,11394599,1,0,1,,, S Kothari to R Schierhout: 1 run
6848471,23852693,1,1,4,2024-07-21 14:13:40,11391030,11859689,11394599,1,0,1,,, S Kothari to F Fourie: 1 run
6848471,23852693,1,1,5,2024-07-21 14:14:01,11859689,11391030,11394599,0,0,0,,, S Kothari to R Schierhout: No run
6848471,23852693,1,1,6,2024-07-21 14:14:27,11859689,11391030,11394599,2,0,2,,, S Kothari to R Schierhout: 2 runs
6848471,23852693,1,2,1,2024-07-21 14:15:42,11391030,11859689,11862359,0,0,0,,, I Sayed to F Fourie: No run
6848471,23852693,1,2,2,2024-07-21 14:16:21,11391030,11859689,11862359,0,1,1,,2.0, I Sayed to F Fourie: 1 w
6848471,23852693,1,2,2,2024-07-21 14:16:56,11391030,11859689,11862359,0,0,0,,, I Sayed to F Fourie: No run
6848471,23852693,1,2,3,2024-07-21 14:17:40,11391030,11859689,11862359,2,0,2,,, I Sayed to F Fourie: 2 runs
6848471,23852693,1,2,4,2024-07-21 14:18:12,11391030,11859689,11862359,0,0,0,,, I Sayed to F Fourie: No run
6848471,23852693,1,2,5,2024-07-21 14:18:46,11391030,11859689,11862359,0,0,0,,, I Sayed to F Fourie: No run
6848471,23852693,1,2,6,2024-07-21 14:19:22,11391030,11859689,11862359,0,0,0,,, I Sayed to F Fourie: No run
6848471,23852693,1,3,1,2024-07-21 14:20:13,11859689,11391030,11394599,0,0,0,,, S Kothari to R Schierhout: No run
6848471,23852693,1,3,2,2024-07-21 14:20:35,11859689,11391030,11394599,0,0,0,,, S Kothari to R Schierhout: No run
6848471,23852693,1,3,3,2024-07-21 14:20:53,11859689,11391030,11394599,0,0,0,,, S Kothari to R Schierhout: No run
6848471,23852693,1,3,4,2024-07-21 14:21:21,11859689,11391030,11394599,2,0,2,,, S Kothari to R Schierhout: 2 runs
6848471,23852693,1,3,5,2024-07-21 14:21:43,11859689,11391030,11394599,0,0,0,,, S Kothari to R Schierhout: No run
6848471,23852693,1,3,6,2024-07-21 14:22:02,11859689,11391030,11394599,0,0,0,,, S Kothari to R Schierhout: No run
6848471,23852693,1,4,1,2024-07-21 14:22:42,11391030,11859689,11862359,0,0,0,,, I Sayed to F Fourie: No run
6848471,23852693,1,4,2,2024-07-21 14:23:14,11391030,11859689,11862359,1,0,1,,, I Sayed to F Fourie: 1 run
6848471,23852693,1,4,3,2024-07-21 14:23:51,11859689,11391030,11862359,0,0,0,,, I Sayed to R Schierhout: No run
6848471,23852693,1,4,4,2024-07-21 14:24:17,11859689,11391030,11862359,2,0,2,,, I Sayed to R Schierhout: 2 runs
6848471,23852693,1,4,5,2024-07-21 14:25:02,11859689,11391030,11862359,0,0,0,,, I Sayed to R Schierhout: No run
6848471,23852693,1,4,6,2024-07-21 14:25:27,11859689,11391030,11862359,0,0,0,,, I Sayed to R Schierhout: No run
6848471,23852693,1,5,1,2024-07-21 14:29:02,11391030,11859689,11394599,0,0,0,,, S Kothari to F Fourie: No run
6848471,23852693,1,5,2,2024-07-21 14:29:28,11391030,11859689,11394599,2,0,2,,, S Kothari to F Fourie: 2 runs
6848471,23852693,1,5,3,2024-07-21 14:30:15,11391030,11859689,11394599,1,0,1,,, S Kothari to F Fourie: 1 run
6848471,23852693,1,5,4,2024-07-21 14:30:40,11859689,11391030,11394599,4,0,4,,, S Kothari to R Schierhout: 4 runs
6848471,23852693,1,5,5,2024-07-21 14:31:10,11859689,11391030,11394599,0,0,0,,, S Kothari to R Schierhout: No run
6848471,23852693,1,5,6,2024-07-21 14:31:24,11859689,11391030,11394599,0,0,0,,, S Kothari to R Schierhout: No run
6848471,23852693,1,6,1,2024-07-21 14:32:21,11391030,11859689,11862359,0,0,0,,, I Sayed to F Fourie: No run
6848471,23852693,1,6,2,2024-07-21 14:33:02,11391030,11859689,11862359,6,0,6,,, I Sayed to F Fourie: 6 runs
6848471,23852693,1,6,3,2024-07-21 14:35:21,11391030,11859689,11862359,0,0,0,,, I Sayed to F Fourie: No run
6848471,23852693,1,6,4,2024-07-21 14:35:57,11391030,11859689,11862359,0,0,0,,, I Sayed to F Fourie: No run
6848471,23852693,1,6,5,2024-07-21 14:36:34,11391030,11859689,11862359,0,0,0,11391030.0,, I Sayed to F Fourie:  F Fourie dismissed
6848471,23852693,1,6,6,2024-07-21 14:38:16,11859291,11859689,11862359,0,0,0,,, I Sayed to T Bettelheim: No run
6848471,23852693,1,7,1,2024-07-21 14:39:29,11859689,11859291,11394599,6,0,6,,, S Kothari to R Schierhout: 6 runs
6848471,23852693,1,7,2,2024-07-21 14:39:55,11859689,11859291,11394599,6,0,6,,, S Kothari to R Schierhout: 6 runs
6848471,23852693,1,7,3,2024-07-21 14:40:34,11859689,11859291,11394599,0,0,0,,, S Kothari to R Schierhout: No run
6848471,23852693,1,7,4,2024-07-21 14:40:54,11859689,11859291,11394599,0,0,0,,, S Kothari to R Schierhout: No run
6848471,23852693,1,7,5,2024-07-21 14:41:20,11859689,11859291,11394599,4,0,4,,, S Kothari to R Schierhout: 4 runs
6848471,23852693,1,7,6,2024-07-21 14:41:50,11859689,11859291,11394599,0,0,0,11859689.0,, S Kothari to R Schierhout:  R Schierhout dismissed
6848471,23852693,1,8,1,2024-07-21 14:43:23,11859291,11859688,11862359,0,0,0,,, I Sayed to T Bettelheim: No run
6848471,23852693,1,8,2,2024-07-21 14:43:59,11859291,11859688,11862359,0,0,0,,, I Sayed to T Bettelheim: No run
6848471,23852693,1,8,3,2024-07-21 14:44:40,11859291,11859688,11862359,0,0,0,,, I Sayed to T Bettelheim: No run
6848471,23852693,1,8,4,2024-07-21 14:45:24,11859291,11859688,11862359,0,1,1,,4.0, I Sayed to T Bettelheim: 1 lb
6848471,23852693,1,8,5,2024-07-21 14:46:08,11859688,11859291,11862359,0,0,0,11859688.0,, I Sayed to J McKenzie:  J McKenzie dismissed
6848471,23852693,1,8,6,2024-07-21 14:48:06,11383378,11859291,11862359,0,0,0,,, I Sayed to A Jain: No run
6848471,23852693,1,9,1,2024-07-21 14:49:00,11859291,11383378,11394599,0,0,0,,, S Kothari to T Bettelheim: No run
6848471,23852693,1,9,2,2024-07-21 14:49:20,11859291,11383378,11394599,4,0,4,,, S Kothari to T Bettelheim: 4 runs
6848471,23852693,1,9,3,2024-07-21 14:50:12,11859291,11383378,11394599,0,0,0,,, S Kothari to T Bettelheim: No run
6848471,23852693,1,9,4,2024-07-21 14:50:39,11859291,11383378,11394599,1,0,1,,, S Kothari to T Bettelheim: 1 run
6848471,23852693,1,9,5,2024-07-21 14:50:46,11383378,11859291,11394599,0,0,0,,, S Kothari to A Jain: No run
6848471,23852693,1,9,6,2024-07-21 14:50:54,11383378,11859291,11394599,0,0,0,,, S Kothari to A Jain: No run
6848471,23852693,1,10,1,2024-07-21 14:53:01,11859291,11383378,11617280,0,0,0,,, M Hans to T Bettelheim: No run
6848471,23852693,1,10,2,2024-07-21 14:53:13,11859291,11383378,11617280,0,0,0,,, M Hans to T Bettelheim: No run
6848471,23852693,1,10,3,2024-07-21 14:53:31,11859291,11383378,11617280,1,0,1,,, M Hans to T Bettelheim: 1 run
6848471,23852693,1,10,4,2024-07-21 14:53:54,11383378,11859291,11617280,0,0,0,,, M Hans to A Jain: No run
6848471,23852693,1,10,5,2024-07-21 14:54:15,11383378,11859291,11617280,0,0,0,,, M Hans to A Jain: No run
6848471,23852693,1,10,6,2024-07-21 14:54:40,11383378,11859291,11617280,0,0,0,,, M Hans to A Jain: No run
6848471,23852693,1,11,1,2024-07-21 14:56:23,11859291,11383378,11381317,0,0,0,,, J Reddy to T Bettelheim: No run
6848471,23852693,1,11,2,2024-07-21 14:56:45,11859291,11383378,11381317,0,0,0,,, J Reddy to T Bettelheim: No run
6848471,23852693,1,11,3,2024-07-21 14:57:08,11859291,11383378,11381317,0,0,0,,, J Reddy to T Bettelheim: No run
6848471,23852693,1,11,4,2024-07-21 14:57:33,11859291,11383378,11381317,1,0,1,,, J Reddy to T Bettelheim: 1 run
6848471,23852693,1,11,5,2024-07-21 14:57:58,11383378,11859291,11381317,0,0,0,,, J Reddy to A Jain: No run
6848471,23852693,1,11,6,2024-07-21 14:58:17,11383378,11859291,11381317,0,0,0,,, J Reddy to A Jain: No run
6848471,23852693,1,12,1,2024-07-21 14:59:05,11859291,11383378,11617280,0,0,0,,, M Hans to T Bettelheim: No run
6848471,23852693,1,12,2,2024-07-21 14:59:31,11859291,11383378,11617280,4,0,4,,, M Hans to T Bettelheim: 4 runs
6848471,23852693,1,12,3,2024-07-21 15:00:13,11859291,11383378,11617280,1,0,1,,, M Hans to T Bettelheim: 1 run
6848471,23852693,1,12,4,2024-07-21 15:00:35,11383378,11859291,11617280,0,0,0,,, M Hans to A Jain: No run
6848471,23852693,1,12,5,2024-07-21 15:01:52,11383378,11859291,11617280,0,0,0,11383378.0,, M Hans to A Jain:  A Jain dismissed
6848471,23852693,1,12,6,2024-07-21 15:03:38,11859687,11859291,11617280,0,0,0,,, M Hans to Jvd Meulen: No run
6848471,23852693,1,13,1,2024-07-21 15:04:50,11859291,11859687,11381317,0,0,0,,, J Reddy to T Bettelheim: No run
6848471,23852693,1,13,2,2024-07-21 15:04:56,11859291,11859687,11381317,1,0,1,,, J Reddy to T Bettelheim: 1 run
6848471,23852693,1,13,3,2024-07-21 15:05:49,11859687,11859291,11381317,0,0,0,,, J Reddy to Jvd Meulen: No run
6848471,23852693,1,13,4,2024-07-21 15:06:29,11859687,11859291,11381317,0,0,0,,, J Reddy to Jvd Meulen: No run
6848471,23852693,1,13,5,2024-07-21 15:06:47,11859687,11859291,11381317,0,0,0,,, J Reddy to Jvd Meulen: No run
6848471,23852693,1,13,6,2024-07-21 15:07:08,11859687,11859291,11381317,0,0,0,,, J Reddy to Jvd Meulen: No run
6848471,23852693,1,14,1,2024-07-21 15:07:54,11859291,11859687,11617280,0,0,0,,, M Hans to T Bettelheim: No run
6848471,23852693,1,14,2,2024-07-21 15:08:16,11859291,11859687,11617280,1,0,1,,, M Hans to T Bettelheim: 1 run
6848471,23852693,1,14,3,2024-07-21 15:08:37,11859687,11859291,11617280,0,0,0,,, M Hans to Jvd Meulen: No run
6848471,23852693,1,14,4,2024-07-21 15:09:05,11859687,11859291,11617280,6,0,6,,, M Hans to Jvd Meulen: 6 runs
6848471,23852693,1,14,5,2024-07-21 15:09:32,11859687,11859291,11617280,0,0,0,,, M Hans to Jvd Meulen: No run
6848471,23852693,1,14,6,2024-07-21 15:09:57,11859687,11859291,11617280,1,0,1,,, M Hans to Jvd Meulen: 1 run
6848471,23852693,1,15,1,2024-07-21 15:10:57,11859687,11859291,11381317,2,0,2,,, J Reddy to Jvd Meulen: 2 runs
6848471,23852693,1,15,2,2024-07-21 15:11:32,11859687,11859291,11381317,0,0,0,,, J Reddy to Jvd Meulen: No run
6848471,23852693,1,15,3,2024-07-21 15:11:55,11859687,11859291,11381317,0,0,0,,, J Reddy to Jvd Meulen: No run
6848471,23852693,1,15,4,2024-07-21 15:12:14,11859687,11859291,11381317,0,0,0,,, J Reddy to Jvd Meulen: No run
6848471,23852693,1,15,5,2024-07-21 15:12:48,11859687,11859291,11381317,4,0,4,,, J Reddy to Jvd Meulen: 4 runs
6848471,23852693,1,15,6,2024-07-21 15:13:19,11859687,11859291,11381317,0,0,0,,, J Reddy to Jvd Meulen: No run
6848471,23852693,1,16,1,2024-07-21 15:14:07,11859291,11859687,11617280,0,0,0,,, M Hans to T Bettelheim: No run
6848471,23852693,1,16,2,2024-07-21 15:14:29,11859291,11859687,11617280,0,0,0,,, M Hans to T Bettelheim: No run
6848471,23852693,1,16,3,2024-07-21 15:14:50,11859291,11859687,11617280,1,0,1,,, M Hans to T Bettelheim: 1 run
6848471,23852693,1,16,4,2024-07-21 15:15:21,11859687,11859291,11617280,1,0,1,,, M Hans to Jvd Meulen: 1 run
6848471,23852693,1,16,5,2024-07-21 15:15:50,11859291,11859687,11617280,0,0,0,,, M Hans to T Bettelheim: No run
6848471,23852693,1,16,6,2024-07-21 15:16:11,11859291,11859687,11617280,0,0,0,11859291.0,, M Hans to T Bettelheim:  T Bettelheim dismissed
6848471,23852693,1,17,1,2024-07-21 15:18:37,11859687,11193244,11381317,0,1,1,,2.0, J Reddy to Jvd Meulen: 1 w
6848471,23852693,1,17,1,2024-07-21 15:19:05,11859687,11193244,11381317,2,0,2,,, J Reddy to Jvd Meulen: 2 runs
6848471,23852693,1,17,2,2024-07-21 15:19:17,11859687,11193244,11381317,0,0,0,,, J Reddy to Jvd Meulen: No run
6848471,23852693,1,17,3,2024-07-21 15:19:45,11859687,11193244,11381317,1,0,1,,, J Reddy to Jvd Meulen: 1 run
6848471,23852693,1,17,4,2024-07-21 15:20:27,11193244,11859687,11381317,0,0,0,,, J Reddy to Td Kok: No run
6848471,23852693,1,17,5,2024-07-21 15:20:45,11193244,11859687,11381317,0,0,0,,, J Reddy to Td Kok: No run
6848471,23852693,1,17,6,2024-07-21 15:21:14,11193244,11859687,11381317,0,2,2,,3.0, J Reddy to Td Kok: 2 b
6848471,23852693,1,18,1,2024-07-21 15:22:14,11859687,11193244,11617280,0,0,0,,, M Hans to Jvd Meulen: No run
6848471,23852693,1,18,2,2024-07-21 15:22:35,11859687,11193244,11617280,3,0,3,,, M Hans to Jvd Meulen: 3 runs
6848471,23852693,1,18,3,2024-07-21 15:23:15,11193244,11859687,11617280,1,0,1,,, M Hans to Td Kok: 1 run
