season_id,season_text,grade_id,grade_name,grade_short_name,sport_id,gender_id,agegroup_id,association_name,rounds
12,2021,73943,Zami,Zami,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9
12,2021,73944,Zomi,Zomi,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7
13,2022,80688,2e Klasse Finales,2e Klasse Finales,,,,Koninklijke Nederlandse Cricket Bond,EF|QF|PF|GF
13,2022,80689,3e Klasse Finales,3e Klasse Finales,,,,Koninklijke Nederlandse Cricket Bond,EF|QF|PF|GF
13,2022,77357,4e Klasse,4e Klasse,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13
13,2022,80659,4e Klasse Play Off,4e Klasse Play Off,,,,Koninklijke Nederlandse Cricket Bond,1
13,2022,79816,Bedrijfscompetitie,BCOMP,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18
13,2022,80882,Beslissingswedstrijd Topklasse - Hoofdklasse,BTKHK,,,,Koninklijke Nederlandse Cricket Bond,GF
13,2022,76370,Cricket Fights Cancer,CFC 2021,,,,Koninklijke Nederlandse Cricket Bond,
13,2022,73941,Derde Klasse,3e Klasse,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14
13,2022,80248,Dutch Lions/Lionesses International Series,,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4
13,2022,73934,Eerste Klasse,EK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|EF|QF|PF|GF
13,2022,80249,Euro U17 Quadrangular Series 2022,,,,,Koninklijke Nederlandse Cricket Bond,1|2|3
13,2022,79936,Flamingo Festival,FF,,,,Koninklijke Nederlandse Cricket Bond,
13,2022,76369,Flamingo Junioren Toernooi,FJT,,,,Koninklijke Nederlandse Cricket Bond,
13,2022,80075,Flamingo Women,FLA-W,,,,Koninklijke Nederlandse Cricket Bond,
13,2022,80913,HTCECA- ACA T-15 LEATHER BALL TOURNAMENT,HTCECA1,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|QF|SF|GF
13,2022,80481,Hilton Series,,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6
13,2022,71375,Hoofdklasse,HK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14
13,2022,80349,Hoofdklasse Play Off,HKPO,,,,Koninklijke Nederlandse Cricket Bond,1|2|4|5|7|8|9|11|12|14|15|16|17|EF|QF|PF|GF
13,2022,79968,KNCB Mini Pro Series,KMPS,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7
13,2022,76517,KNCB Practice matches,KNCB PM,,,,Koninklijke Nederlandse Cricket Bond,1|2
13,2022,79969,KNCB Young Pro Series,KYPS,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9
13,2022,73945,Lagere Klassen Twenty20,LK T20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10
13,2022,71381,Live Score Test,LST,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7
13,2022,76036,Men's Pro Series,Men's Pro Series,,,,Koninklijke Nederlandse Cricket Bond,
13,2022,80566,Minor County Cricket Festival 2024,MCCF 24,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5
13,2022,76594,Netherlands Men's A International Series,Nehterlands A,,,,Koninklijke Nederlandse Cricket Bond,
13,2022,80719,Netherlands U17 vs Wiltshire,,,,,Koninklijke Nederlandse Cricket Bond,1|2
13,2022,80565,Netherlands U18 v Ireland U17,,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5
13,2022,79970,Netherlands Women vs Namibia Women,NEDNAMW,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6
13,2022,76104,Netherlands Women's Intersquad,Intersquad,,,,Koninklijke Nederlandse Cricket Bond,
13,2022,79940,Netherlands vs England Super League Series,,,,,Koninklijke Nederlandse Cricket Bond,1|2|3
13,2022,80718,Netherlands vs FairBreak Women's T20 Series,,,,,Koninklijke Nederlandse Cricket Bond,1|2|3
13,2022,80538,Netherlands vs Ireland,,,,,Koninklijke Nederlandse Cricket Bond,
13,2022,75878,Netherlands vs Ireland Super League Series,,,,,Koninklijke Nederlandse Cricket Bond,
13,2022,80714,Netherlands vs Ireland Women's ODI Series,NED vs IRE,,,,Koninklijke Nederlandse Cricket Bond,1|2|3
13,2022,80575,Netherlands vs New Zealand T20I Series,NVNZ,,,,Koninklijke Nederlandse Cricket Bond,1
13,2022,79941,Netherlands vs Pakistan Super League Series,,,,,Koninklijke Nederlandse Cricket Bond,1|2|3
13,2022,75716,Netherlands vs Scotland ODI Series,ODI,,,,Koninklijke Nederlandse Cricket Bond,
13,2022,79939,Netherlands vs West Indies Super League Series,,,,,Koninklijke Nederlandse Cricket Bond,1|2|3
13,2022,79484,Non KNCB Matches,NKM,,,,Koninklijke Nederlandse Cricket Bond,1
13,2022,80636,Overgangsklasse Finals,OV Klasse Finals,,,,Koninklijke Nederlandse Cricket Bond,QF|SF|GF
13,2022,74672,Pre-season,Pre-S,,,,Koninklijke Nederlandse Cricket Bond,1|2|3
13,2022,76801,Qui Vive Premier League,QPL,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|EF|QF|PF|GF
13,2022,80033,Tachyon Security Dutch Women's Super League,DWSL,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5
13,2022,71374,Topklasse,TK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10
13,2022,80120,Topklasse Play Off,TKPO,,,,Koninklijke Nederlandse Cricket Bond,1|2|4|5|6|7|9|10|11|12|13|14|15|16|EF|QF|PF|GF
13,2022,71378,Topklasse Twenty20,TK T20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|QF|SF|GF
13,2022,71399,Training Grade,TG,,,,Koninklijke Nederlandse Cricket Bond,1
13,2022,73940,Tweede Klasse,2e Klasse,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14
13,2022,75916,U11 HB,U11 HB,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|SF|GF
13,2022,75917,U11 HB WO,U11 HB WO,,,,Koninklijke Nederlandse Cricket Bond,
13,2022,75915,U11 ZB,U11 ZB,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|SF|GF
13,2022,75914,U13,U13,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|SF|GF
13,2022,75913,U15,U15,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|SF|GF
13,2022,75988,U15 Extra,U15 Extra,,,,Koninklijke Nederlandse Cricket Bond,
13,2022,73401,U15 Finales,,,,,Koninklijke Nederlandse Cricket Bond,
13,2022,75943,U17,U17,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|SF|GF
13,2022,73417,U17 Finales,U17 Finales,,,,Koninklijke Nederlandse Cricket Bond,
13,2022,73942,Vierde Klasse,4e Klasse,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14
13,2022,77363,Vrouwen Eerste Klasse,VEK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6
13,2022,74760,Vrouwen Hoofdklasse,VHK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|GF
13,2022,75993,Vrouwen T20,VT20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9
13,2022,73130,Women's T20 Day,,,,,Koninklijke Nederlandse Cricket Bond,
13,2022,73943,Zami,Zami,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14
13,2022,73944,Zomi,Zomi,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13
15,2023,84350,2023 ICC U19 Men's WCQ,2023ICCU19WCQ,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5
15,2023,84888,2023 U11 Extra wedstrijden,2023U11XTRA,,,,Koninklijke Nederlandse Cricket Bond,1
15,2023,84887,2023 U13 Extra wedstrijden,2023U13XTRA,,,,Koninklijke Nederlandse Cricket Bond,1|2
15,2023,84886,2023 U15 Extra wedstrijden,2023U15XTRA,,,,Koninklijke Nederlandse Cricket Bond,1
15,2023,84889,2023 U17 Extra wedstrijden,2023U17XTRA,,,,Koninklijke Nederlandse Cricket Bond,1
15,2023,80688,2e Klasse Finales,2e Klasse Finales,,,,Koninklijke Nederlandse Cricket Bond,
15,2023,80689,3e Klasse Finales,3e Klasse Finales,,,,Koninklijke Nederlandse Cricket Bond,
15,2023,77357,4e Klasse,4e Klasse,,,,Koninklijke Nederlandse Cricket Bond,
15,2023,80659,4e Klasse Play Off,4e Klasse Play Off,,,,Koninklijke Nederlandse Cricket Bond,
15,2023,79816,Bedrijfscompetitie,BCOMP,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|18|19
15,2023,80882,Beslissingswedstrijd Topklasse - Hoofdklasse,BTKHK,,,,Koninklijke Nederlandse Cricket Bond,
15,2023,76370,Cricket Fights Cancer,CFC 2021,,,,Koninklijke Nederlandse Cricket Bond,
15,2023,73941,Derde Klasse,3e Klasse,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14
15,2023,80248,Dutch Lions/Lionesses International Series,,,,,Koninklijke Nederlandse Cricket Bond,
15,2023,82135,Eerst Klasse Twenty20,EK T20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|SF|GF
15,2023,73934,Eerste Klasse,EK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|EF|QF|PF|GF
15,2023,82136,Eerste Play Off,EKPO,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|EF|QF|GF
15,2023,80249,Euro U17 Quadrangular Series 2022,,,,,Koninklijke Nederlandse Cricket Bond,
15,2023,83848,Euro U18 Quadrangular Series 2023,U18 Quad Series 2023,,,,Koninklijke Nederlandse Cricket Bond,1|2|3
15,2023,79936,Flamingo Festival,FF,,,,Koninklijke Nederlandse Cricket Bond,
15,2023,76369,Flamingo Junioren Toernooi,FJT,,,,Koninklijke Nederlandse Cricket Bond,
15,2023,80075,Flamingo Women,FLA-W,,,,Koninklijke Nederlandse Cricket Bond,1
15,2023,80913,HTCECA- ACA T-15 LEATHER BALL TOURNAMENT,HTCECA1,,,,Koninklijke Nederlandse Cricket Bond,
15,2023,84960,Hermes-DVS T10 Toernooi,HDVST10,,,,Koninklijke Nederlandse Cricket Bond,1|2|3
15,2023,80481,Hilton Series,,,,,Koninklijke Nederlandse Cricket Bond,
15,2023,71375,Hoofdklasse,HK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|EF|QF|PF|GF
15,2023,80349,Hoofdklasse Play Off,HKPO,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6
15,2023,82134,Hoofdklasse Twenty20,HK T20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|SF|GF
15,2023,79968,KNCB Mini Pro Series,KMPS,,,,Koninklijke Nederlandse Cricket Bond,4|5|6|7|8|9
15,2023,76517,KNCB Practice matches,KNCB PM,,,,Koninklijke Nederlandse Cricket Bond,1|2|3
15,2023,79969,KNCB Young Pro Series,KYPS,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8
15,2023,73945,Lagere Klassen Twenty20,LK T20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|QF|SF|GF
15,2023,71381,Live Score Test,LST,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7
15,2023,76036,Men's Pro Series,Men's Pro Series,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5
15,2023,80566,Minor County Cricket Festival 2024,MCCF 24,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10
15,2023,76594,Netherlands Men's A International Series,Nehterlands A,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14
