season_id,season_text,grade_id,grade_name,grade_short_name,sport_id,gender_id,agegroup_id,association_name,rounds
17,2024,76370,Cricket Fights Cancer,CFC 2021,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,73941,Derde Klasse,3e Klasse,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14
17,2024,80248,Dutch Lions/Lionesses International Series,,,,,Koninklijke Nederlandse Cricket Bond,1|2|3
17,2024,82135,Eerst Klasse Twenty20,EK T20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|SF|GF
17,2024,73934,Eerste Klasse,EK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|EF|QF|PF|GF
17,2024,82136,Eerste Play Off,EKPO,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,80249,Euro U17 Quadrangular Series 2022,,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,83848,Euro U18 Quadrangular Series 2023,U18 Quad Series 2023,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,79936,Flamingo Festival,FF,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,76369,Flamingo Junioren Toernooi,FJT,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|SF|GF1|GF2
17,2024,80075,Flamingo Women,FLA-W,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,89359,HCLTech Women's ODI Tri Series,HCLTech W - ODI,,,,Koninklijke Nederlandse Cricket Bond,1|2
17,2024,89360,HCLTech Women's T20I Tri Series,HCLTech W - T20I,,,,Koninklijke Nederlandse Cricket Bond,1
17,2024,80913,HTCECA- ACA T-15 LEATHER BALL TOURNAMENT,HTCECA1,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,84960,Hermes-DVS T10 Toernooi,HDVST10,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,80481,Hilton Series,,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,71375,Hoofdklasse,HK,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|EF|QF|PF|GF
17,2024,80349,Hoofdklasse Play Off,HKPO,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,82134,Hoofdklasse Twenty20,HK T20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|SF|GF
17,2024,89595,ICC WCL-2 Tri-series,ICC WCL-2 Tri-series,,,,Koninklijke Nederlandse Cricket Bond,1|2
17,2024,79968,KNCB Mini Pro Series,KMPS,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|11|12
17,2024,76517,KNCB Practice matches,KNCB PM,,,,Koninklijke Nederlandse Cricket Bond,
17,2024,79969,KNCB Young Pro Series,KYPS,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7
17,2024,73945,Lagere Klassen Twenty20,LK T20,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8|9|10|QF|SF|GF
17,2024,71381,Live Score Test,LST,,,,Koninklijke Nederlandse Cricket Bond,1|QF|SF|GF
17,2024,89472,Malvern College Cricket Festival 2024,Malvern 2024,,,,Koninklijke Nederlandse Cricket Bond,1|2|3
17,2024,88846,Men's Emerging Pro Series,Men's Pro Series,,,,Koninklijke Nederlandse Cricket Bond,1|2
17,2024,76036,Men's Pro Series,Men's Pro Series,,,,Koninklijke Nederlandse Cricket Bond,1|2|3|4|5|6|7|8
17,2024,80566,Minor County Cricket Festival 2024,MCCF 24,,,,Koninklijke Nederlandse Cricket Bond,1|2
17,2024,88389,NORDEK Tri-Series,NORDEK Tri-Series,,,,Koninklijke Nederlandse Cricket Bond,1|2
17,2024,89387,NRR,NRR,,,,Koninklijke Nederlandse Cricket Bond,1
